,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 766,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
0,1,Unlimited,"Tim Rask
Kyle Mynar
Nick Walton
Tommy Yonley
TC Kaitlyn Mynar
TC Landen Jiral",1,0 days 02:10:00,0 days 05:14:00,0 days 08:04:00,0 days 11:36:00,0 days 16:18:00,0 days 19:28:00,0 days 21:15:00,1 days 02:11:00,1 days 06:31:00,1 days 09:13:00,1 days 11:46:00,Unlimited,"['Tim Rask', 'Kyle Mynar', 'Nick Walton', 'Tommy Yonley', '']","['Kaitlyn Mynar', 'TC Landen Jiral']",-2.823763907144894e-07,75.31867910363653,159.96083034251652,228.60963477071195,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Unlimited,"Ryan Slebos
Wes Wyatt
Brad Daniels
Phil Bowden
Dylan McHardy
Ryan Martinez
TC Don Walls
TC Steve Lynn",407,0 days 02:10:00,0 days 05:31:00,0 days 08:24:00,0 days 11:58:00,0 days 16:44:00,0 days 20:02:00,0 days 21:56:00,1 days 02:56:00,1 days 07:13:00,1 days 10:20:00,1 days 13:01:00,Unlimited,"['Ryan Slebos', 'Wes Wyatt', 'Brad Daniels', 'Phil Bowden', 'Dylan McHardy', 'Ryan Martinez', '']","['Don Walls', 'TC Steve Lynn']",-2.823763907144894e-07,72.78327293756756,158.3030861102277,223.54926151109552,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Andrew Condie
Clay Wyatt
Danny Medina
TC Jill Wyatt
TC Jay Condie",123,0 days 02:17:00,0 days 05:30:00,0 days 08:28:00,0 days 11:58:00,0 days 16:55:00,0 days 20:25:00,0 days 22:16:00,1 days 03:22:00,1 days 08:02:00,1 days 11:03:00,1 days 13:28:00,Unlimited,"['Andrew Condie', 'Clay Wyatt', 'Danny Medina', '']","['Jill Wyatt', 'TC Jay Condie']",-2.823763907144894e-07,72.51312334795013,154.52978215746882,218.89258382614594,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,Unlimited,"Rebekah Feaster
Jonathan Kittle
Dave Walliser
Jonathan Rask
Rachel Rask
Stephen Rask
TC Jonathan Zeek
TC Michael Pope
",139,0 days 02:26:00,0 days 05:59:00,0 days 09:11:00,0 days 13:09:00,0 days 18:19:00,0 days 21:52:00,0 days 23:54:00,1 days 05:25:00,1 days 10:18:00,1 days 13:51:00,1 days 16:46:00,Unlimited,"['Rebekah Feaster', 'Jonathan Kittle', 'Dave Walliser', 'Jonathan Rask', 'Rachel Rask', 'Stephen Rask', '']","['Jonathan Zeek', 'TC Michael Pope', '']",-2.823763907144894e-07,66.54027213961629,140.4413963795576,205.23483252488356,261.9105189289206,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,Womens,"Melissa James
Holly Orr
Mollie Binion
Cecili Bugge
Lydia Huelskamp
TC Andrew Nelson
TC Holly Huelskamp",357,0 days 02:33:00,0 days 06:13:00,0 days 09:37:00,0 days 13:44:00,0 days 19:14:00,0 days 22:53:00,1 days 00:55:00,1 days 06:39:00,1 days 11:25:00,1 days 15:00:00,1 days 17:41:00,Womens,"['Melissa James', 'Holly Orr', 'Mollie Binion', 'Cecili Bugge', 'Lydia Huelskamp', '']","['Andrew Nelson', 'TC Holly Huelskamp']",-2.823763907144894e-07,63.63979471009692,131.29330881833909,197.19774396288597,256.152333767647,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,Unlimited,"Jay Daniel
Morgan Kohut
Michael Tecci
Wayne Thorp out at Cuero
TC Kristin Daniel
TC Jessie Hazelwood",37,0 days 02:32:00,0 days 06:09:00,0 days 09:19:00,0 days 13:25:00,0 days 18:54:00,0 days 22:33:00,1 days 00:39:00,1 days 06:57:00,1 days 12:30:00,1 days 16:46:00,1 days 20:43:00,Unlimited,"['Jay Daniel', 'Morgan Kohut', 'Michael Tecci', 'Wayne Thorp out at Cuero', '']","['Kristin Daniel', 'TC Jessie Hazelwood']",-2.823763907144894e-07,65.53158797898091,134.45627067296056,195.7554799851158,247.03128245032698,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,"Tandem Unlimited
1st Masters ","Chris Champion
Jason Cade
TC AJ Champion
TC Jeff Kellington",3930,0 days 02:31:00,0 days 06:16:00,0 days 09:39:00,0 days 13:49:00,0 days 19:05:00,0 days 22:53:00,1 days 00:59:00,1 days 07:16:00,1 days 12:41:00,1 days 17:53:00,1 days 21:02:00,Tandem Unlimited,"['Chris Champion', 'Jason Cade', '']","['AJ Champion', 'TC Jeff Kellington']",-2.823763907144894e-07,63.405281768361505,132.37329382001576,193.7976799992523,243.74748146219272,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Unlimited,"West Hansen
Jimmy Harvey
Jeff Wueste
TC Barbara Edington
TC Lizet Alaniz",330,0 days 02:33:00,0 days 06:12:00,0 days 09:32:00,0 days 13:45:00,0 days 19:13:00,0 days 23:04:00,1 days 01:13:00,1 days 07:36:00,1 days 12:50:00,1 days 17:52:00,1 days 21:16:00,Unlimited,"['West Hansen', 'Jimmy Harvey', 'Jeff Wueste', '']","['Barbara Edington', 'TC Lizet Alaniz']",-2.823763907144894e-07,64.09132255198669,131.06532910024626,191.90681151751662,243.5912657203302,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,Unlimited,"John Dupont
Brandon Gabehart
Luke Zolnierowski
Andrew Davis
Maxx Dugas
John Mark Harras
TC Jason Jones
TC Jessica Davis",807,0 days 02:32:00,0 days 06:09:00,0 days 09:30:00,0 days 13:47:00,0 days 19:39:00,0 days 23:39:00,1 days 01:45:00,1 days 08:05:00,1 days 13:44:00,1 days 18:02:00,1 days 21:30:00,Unlimited,"['John Dupont', 'Brandon Gabehart', 'Luke Zolnierowski', 'Andrew Davis', 'Maxx Dugas', 'John Mark Harras', '']","['Jason Jones', 'TC Jessica Davis']",-2.823763907144894e-07,64.24718373163488,127.04900937966895,188.88925888827222,241.75572409160404,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,Standard,"Joe Geisinger
John Bugge
TC Bill McCanse
TC James Connolly",42,0 days 02:46:00,0 days 06:34:00,0 days 09:57:00,0 days 14:18:00,0 days 20:14:00,1 days 00:21:00,1 days 02:32:00,1 days 09:04:00,1 days 14:34:00,1 days 18:45:00,1 days 22:04:00,Standard,"['Joe Geisinger', 'John Bugge', '']","['Bill McCanse', 'TC James Connolly']",-2.823763907144894e-07,61.540329101983986,122.5613808722514,183.47654699699058,238.43574907633243,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
10,11,"Mixed
1st Adult Youth","Ian Rolls
Adelaide Rolls
TC Brooke Rolls
TC Blane Ellis",7,0 days 02:33:00,0 days 06:25:00,0 days 09:55:00,0 days 14:18:00,0 days 20:28:00,1 days 00:29:00,1 days 02:48:00,1 days 09:20:00,1 days 14:50:00,1 days 18:51:00,1 days 22:08:00,Mixed,"['Ian Rolls', 'Adelaide Rolls', '']","['Brooke Rolls', 'TC Blane Ellis']",-2.823763907144894e-07,61.733681172634164,121.21453340544934,181.90344526185712,237.49693572045044,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
11,12,Womens,"Courtney Martinez
Heather Harrison
TC Ginsie Stauss
TC Shiela Reiter",333,0 days 02:45:00,0 days 06:37:00,0 days 10:03:00,0 days 14:32:00,0 days 20:31:00,1 days 00:36:00,1 days 02:53:00,1 days 09:22:00,1 days 14:52:00,1 days 19:00:00,1 days 22:45:00,Womens,"['Courtney Martinez', 'Heather Harrison', '']","['Ginsie Stauss', 'TC Shiela Reiter']",-2.823763907144894e-07,60.94448780768044,120.81898826589352,181.5536424338647,237.20429782123483,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
12,13,USCA C-1 Man,"Gabe Haarsma
TC David Finley
TC Helena Finlay",38,0 days 02:54:00,0 days 06:49:00,0 days 10:26:00,0 days 15:06:00,0 days 21:07:00,1 days 01:08:00,1 days 03:28:00,1 days 10:22:00,1 days 15:54:00,1 days 19:40:00,1 days 23:04:00,USCA C-1 Man,"['Gabe Haarsma', '']","['David Finley', 'TC Helena Finlay']",-2.823763907144894e-07,58.77489386165382,117.14174087200284,177.17654053116615,232.74812141318984,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
13,14,Unlimited,"Alexandre Leonard
Yusuf Johnson
Cohl Brazil
Jhet Brazil
TC Leonard Philippe
TC Doug Brazil",121,0 days 02:35:00,0 days 06:25:00,0 days 09:52:00,0 days 14:18:00,0 days 20:09:00,1 days 00:22:00,1 days 02:43:00,1 days 08:45:00,1 days 14:12:00,1 days 19:37:00,1 days 23:32:00,Unlimited,"['Alexandre Leonard', 'Yusuf Johnson', 'Cohl Brazil', 'Jhet Brazil', '']","['Leonard Philippe', 'TC Doug Brazil']",-2.823763907144894e-07,62.01825762248208,123.06843577937062,184.00018997788447,238.25001651924723,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
