,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Placement,,,,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Placement,,,,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 72,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Unlimited,"Andrew Condie
Clay Wyatt
Ian Rolls
Gaston Jones
Logan Mynar
Weston Willoughby

TC Jill Wyatt
TC Fred Mynar",2,9:00, ,11:09:45,,14:17:00,,17:10:00,,20:45:00,,1:52:00,,6:27:00,,7:29:00,,13:12:00,,18:05:00,,21:06:00,,1:53:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:09:45,2,3:07:15,1,2:53:00,1,3:35:00,1,5:07:00,1,4:35:00,2,1:02:00,1,5:43:00,2,4:53:00,1,3:01:00,3,4:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:09:45,2,5:17:00,1,8:10:00,1,11:45:00,1,16:52:00,1,21:27:00,1,22:29:00,1,28:12:00,1,33:05:00,1,36:06:00,1,40:53:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,"Chris Issendorf
William Russell
Kyle Issendorf
Tim Rask
Tommy Yonley
Nick Walton

TC Wayne Thorp
TC Stephen Rask",314,9:00, ,11:10:30,,14:16:00,,17:10:00,,20:47:00,,2:03:00,,6:46:00,,7:48:00,,13:54:00,,18:46:00,,22:02:00,,3:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:10:30,1,3:05:30,2,2:54:00,2,3:37:00,2,5:16:00,2,4:43:00,2,1:02:00,2,6:06:00,1,4:52:00,2,3:16:00,6,5:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:10:30,1,5:16:00,1,8:10:00,2,11:47:00,2,17:03:00,2,21:46:00,2,22:48:00,2,28:54:00,2,33:46:00,2,37:02:00,2,42:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3rd Unlimited,"Jason Cade
Shannon Issendorf
Virginia Parker
Dodd Yeager

TC Cecili Bugge
TC Kaitlin Mynar",3931,9:00, ,11:34:00,,15:12:00,,18:32:00,,22:34:00,,4:26:00,,9:36:00,,10:56:00,,17:48:00,,23:13:00,,2:49:00,,6:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:34:00,4,3:38:00,3,3:20:00,3,4:02:00,3,5:52:00,3,5:10:00,7,1:20:00,3,6:52:00,3,5:25:00,3,3:36:00,1,3:53:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:34:00,4,6:12:00,4,9:32:00,3,13:34:00,3,19:26:00,3,24:36:00,3,25:56:00,3,32:48:00,3,38:13:00,3,41:49:00,3,45:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
