,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
0,1,Unlimited,"Kyle Mynar
Normand Mainguy - out at Victoria
Chris Issendorf
Steve Lajoie

TC  Logan Mynar
TC Gaston Jones",124,0 days 02:20:00,0 days 05:35:00,0 days 08:38:00,0 days 12:10:00,0 days 17:57:00,0 days 21:35:00,0 days 23:39:00,1 days 06:05:00,1 days 11:26:00,1 days 15:37:00,1 days 18:05:00,Unlimited,['Kyle Mynar\nNormand Mainguy - out at Victoria\nChris Issendorf\nSteve Lajoie\n\n'],[' Logan Mynar\nTC Gaston Jones'],-2.823763907144894e-07,71.19354152217011,138.13626624312428,201.06798129674104,255.08937999314557,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Tandem Unlimited,"Andrew Condie
Brandon Stafford

TC Jay Condie
TC Joseph Bitterly",1845,0 days 02:28:00,0 days 06:12:00,0 days 09:35:00,0 days 13:32:00,0 days 20:15:00,1 days 00:15:00,1 days 02:34:00,1 days 09:38:00,1 days 15:35:00,1 days 20:25:00,1 days 23:12:00,Tandem Unlimited,['Andrew Condie\nBrandon Stafford\n\n'],['Jay Condie\nTC Joseph Bitterly'],-2.823763907144894e-07,63.957913006850376,122.63937607528197,181.75132929218617,234.06348290894735,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Brenda Jones
Brian Jones
Chris Bailey
Nate Tart - out at Swinging Bridge

TC Ed Jones
TC James Shuler",4444,0 days 02:37:00,0 days 06:31:00,0 days 09:58:00,0 days 14:06:00,0 days 21:05:00,1 days 01:10:00,1 days 03:32:00,1 days 10:27:00,1 days 16:37:00,1 days 21:09:00,1 days 23:39:00,Unlimited,['Brenda Jones\nBrian Jones\nChris Bailey\nNate Tart - out at Swinging Bridge\n\n'],['Ed Jones\nTC James Shuler'],-2.823763907144894e-07,61.45211131318536,118.27051550160058,176.7709639380722,229.20008057463522,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,Unlimited,"Jonathan Zeek
Holly Orr
William Orr
David Kaiser

TC Melinda Zeek
TC Jacob Henry",357,0 days 02:32:00,0 days 06:16:00,0 days 09:40:00,0 days 13:45:00,0 days 21:07:00,1 days 01:20:00,1 days 03:42:00,1 days 11:02:00,1 days 17:15:00,1 days 21:32:00,2 days 00:00:00,Unlimited,['Jonathan Zeek\nHolly Orr\nWilliam Orr\nDavid Kaiser\n\n'],['Melinda Zeek\nTC Jacob Henry'],-2.823763907144894e-07,63.34439018168478,118.40196080444008,175.11408118226964,226.0968367301012,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,"Tandem Unlimited
1st Adult Youth","Tommy Yonley
Drew Yonley

TC Jacob Southard
TC Rachel Rask",2,0 days 02:37:00,0 days 06:24:00,0 days 09:50:00,0 days 14:04:00,0 days 21:04:00,1 days 01:09:00,1 days 03:34:00,1 days 10:35:00,1 days 17:15:00,1 days 21:39:00,2 days 00:02:00,Tandem Unlimited,['Tommy Yonley\nDrew Yonley\n\n'],['Jacob Southard\nTC Rachel Rask'],-2.823763907144894e-07,62.25733565439871,118.37242109972281,176.39198431334907,226.51355216678428,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,Unlimited Women,"Virginia Parker
Morgan Kohut
Kaitlin Mynar
Shannon Issendorf

TC Debbie Richardson
TC Landen Jiral",113,0 days 02:45:00,0 days 06:39:00,0 days 10:08:00,0 days 14:17:00,0 days 21:37:00,1 days 01:47:00,1 days 04:14:00,1 days 11:08:00,1 days 17:27:00,1 days 22:39:00,2 days 01:16:00,Unlimited Women,['Virginia Parker\nMorgan Kohut\nKaitlin Mynar\nShannon Issendorf\n\n'],['Debbie Richardson\nTC Landen Jiral'],-2.823763907144894e-07,60.4556576149202,115.85013313102338,172.89420802996946,225.22243881585706,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Mixed Tandem Unlimited,"Lydia  Huelskamp
Wade Binion

TC Holly Huelskamp
TC Cecili Bugge",111,0 days 02:49:00,0 days 06:51:00,0 days 10:32:00,0 days 14:47:00,0 days 22:00:00,1 days 02:32:00,1 days 05:10:00,1 days 12:41:00,1 days 19:11:00,1 days 23:39:00,2 days 02:31:00,Mixed Tandem Unlimited,['Lydia  Huelskamp\nWade Binion\n\n'],['Holly Huelskamp\nTC Cecili Bugge'],-2.823763907144894e-07,58.25996101294467,113.74994131200023,167.29906174743607,217.23371228179005,263.72153263519795,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Unlimited,"John Moore
Matt Wagner
Jimmy MacMillan

TC Anita Mraz Jenneiahn
TC Bill Jenneiahn",963,0 days 02:44:00,0 days 06:48:00,0 days 10:34:00,0 days 14:49:00,0 days 22:29:00,1 days 02:46:00,1 days 05:27:00,1 days 14:11:00,1 days 20:42:00,2 days 00:45:00,2 days 03:15:00,Unlimited,['John Moore\nMatt Wagner\nJimmy MacMillan\n\n'],['Anita Mraz Jenneiahn\nTC Bill Jenneiahn'],-2.823763907144894e-07,58.143576770978314,112.01675056602758,165.45342435028476,210.126415970558,259.5667477187891,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,Solo Unlimited Man,"Luke Zolnierowski

TC Anna Winder",97,0 days 02:43:00,0 days 06:40:00,0 days 10:19:00,0 days 14:38:00,0 days 22:00:00,1 days 02:30:00,1 days 05:08:00,1 days 12:41:00,1 days 19:51:00,2 days 00:47:00,2 days 03:55:00,Solo Unlimited Man,['Luke Zolnierowski\n\n'],['Anna Winder'],-2.823763907144894e-07,59.45631895627949,113.95902954088346,167.45035603089562,215.77636387892824,258.1153857151074,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,"Standard
1st Masters","Joe Geisinger
Eric Whicker

TC Bill McCanse
TC James Connolly",57,0 days 03:00:00,0 days 07:15:00,0 days 11:04:00,0 days 15:40:00,0 days 23:40:00,1 days 04:28:00,1 days 07:09:00,1 days 14:38:00,1 days 21:23:00,2 days 01:22:00,2 days 04:10:00,Standard,['Joe Geisinger\nEric Whicker\n\n'],['Bill McCanse\nTC James Connolly'],-2.823763907144894e-07,55.48378106818253,107.03616022927244,157.03222883866042,207.78366363726974,256.00910072110224,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
