name,gauge_number,lat,lon
"San Marcos Rv at San Marcos, TX",8170500,29°53'20",97°56'02"
"San Marcos Rv nr Martindale, TX",08171400,29°49'56.23",97°50'32.58"
"San Marcos Rv at Luling, TX",08172000,29°39'58",97°39'02"
"Guadalupe Rv at Gonzales, TX",08173900,29°29'03",97°27'00"
"Guadalupe Rv at Hwy 183 nr Hochheim, TX",08174700,29°18'52.08",97°18'12.60"
"Guadalupe Rv at Cuero, TX",08175800,29°05'25",97°19'46"
"Guadalupe Rv at Victoria, TX",08176500,28°47'34",97°00'46"
"Guadalupe Rv nr Bloomington, TX",08177520,28°39'43",96°57'55"
"Guadalupe Rv nr Tivoli, TX",08188800,28°30'20",96°53'04"
"Guadalupe Rv at SH 35 nr Tivoli, TX",08188810,28°28'41",96°51'45"
