,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
1,1st Unlimited,314,"William Russell 
Andrew Stephens 
Sam Ritchie 
Andrew Soles 
Daniel Cruz 
Amado Cruz 
TC - John Russell",9:00, ,11:16:00, ,14:18:00, ,17:11:00, ,20:38:00, ,1:28:00, ,4:55:00, ,7:00:00, ,12:15:00, ,16:58:00, ,20:00:00, ,23:30:00,,,,,
,,,,,1,2:16:00,1,3:02:00,1,2:53:00,1,3:27:00,1,4:50:00,1,3:27:00,5,2:05:00,1,5:15:00,1,4:43:00,1,3:02:00,2,3:30:00,,,,,
,,,,,1,2:16:00,1,5:18:00,1,8:11:00,1,11:38:00,1,16:28:00,1,19:55:00,1,22:00:00,1,27:15:00,1,31:58:00,1,35:00:00,1,38:30:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,221,"Philip Rask 
Peter Rask 
Stephen Rask 
Johathan Rask 
Michael Rask 
Jeremiah Jackson 
TC - Jonathan Kittle",9:00, ,11:20:00, ,14:29:00, ,17:33:00, ,21:22:00, ,2:50:00, ,6:44:00, ,8:40:00, ,14:46:00, ,19:49:00, ,22:52:00, ,2:49:00,,,,,
,,,,,2,2:20:00,2,3:09:00,2,3:04:00,2,3:49:00,2,5:28:00,8,3:54:00,1,1:56:00,4,6:06:00,5,5:03:00,3,3:03:00,11,3:57:00,,,,,
,,,,,2,2:20:00,2,5:29:00,2,8:33:00,2,12:22:00,2,17:50:00,2,21:44:00,2,23:40:00,2,29:46:00,2,34:49:00,2,37:52:00,2,41:49:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Tandem Unl,143,"Clay Wyatt 
Logan Mynar 
TC - Jill Wyatt",9:00, ,11:20:00, ,14:38:00, ,17:43:00, ,21:36:00, ,3:07:00, ,6:51:00, ,8:50:00, ,14:55:00, ,19:53:00, ,22:55:00, ,3:12:00,,,,,
,,,,,2,2:20:00,4,3:18:00,3,3:05:00,3,3:53:00,4,5:31:00,3,3:44:00,2,1:59:00,2,6:05:00,2,4:58:00,1,3:02:00,14,4:17:00,,,,,
,,,,,2,2:20:00,3,5:38:00,3,8:43:00,3,12:36:00,3,18:07:00,3,21:51:00,3,23:50:00,3,29:55:00,3,34:53:00,3,37:55:00,3,42:12:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Mixed,5,"Tommy Yonley 
Sandy Yonley 
TC - Jacob Southard",9:00, ,11:26:00, ,14:51:00, ,18:07:00, ,22:12:00, ,4:00:00, ,7:45:00, ,9:54:00, ,16:19:00, ,21:19:00, ,0:30:00, ,4:05:00,,,,,
,,,,,6,2:26:00,7,3:25:00,8,3:16:00,8,4:05:00,8,5:48:00,4,3:45:00,9,2:09:00,6,6:25:00,4,5:00:00,4,3:11:00,3,3:35:00,,,,,
,,,,,6,2:26:00,7,5:51:00,7,9:07:00,7,13:12:00,8,19:00:00,7,22:45:00,8,24:54:00,7,31:19:00,5,36:19:00,5,39:30:00,4,43:05:00,,,,,
