,,,,,,,,,,2013 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,0.582638889,,Time Out,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,0.115972222,,Split Time,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,0.207638889,,Overall Time,,,,,,,,,,,,
Overall Place,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1st Unlimited,4106,"Fred Mynar
Kyle Mynar
Logan Mynar
Andrew Condie
Tommy Yonley
Jerry Cochran
TC - Brian Mynar
TC - Joe Mynar",9:00,,11:16:00,,14:32:00,,17:37:00,,21:19:00,,2:43:00,,6:31:00,,8:32:00,,14:12:00,,19:03:00,,22:05:00,,0:45:00
,,,,,1,2:16:00,1,3:16:00,1,3:05:00,1,3:42:00,1,5:24:00,1,3:48:00,1,2:01:00,1,5:40:00,1,4:51:00,1,3:02:00,1,2:40:00
,,,,,1,2:16:00,1,5:32:00,1,8:37:00,1,12:19:00,1,17:43:00,1,21:31:00,1,23:32:00,1,29:12:00,1,34:03:00,1,37:05:00,1,39:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,247,"Michael Rendon
Clay Wyatt
Jeff Glock
Bobby Smart
Sammy Prochaska
TC - Jill Wyatt",9:00,,11:30:00,,15:08:00,,18:31:00,,22:54:00,,5:06:00,,9:25:00,,11:46:00,,18:26:00,,23:50:00,,3:12:00,,5:56:00
,,,,,2,2:30:00,3,3:38:00,2,3:23:00,4,4:23:00,4,6:12:00,5,4:19:00,4,2:21:00,3,6:40:00,3,5:24:00,5,3:22:00,2,2:44:00
,,,,,2,2:30:00,2,6:08:00,2,9:31:00,2,13:54:00,2,20:06:00,2,24:25:00,2,26:46:00,2,33:26:00,2,38:50:00,2,42:12:00,2,44:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3nd Unlimited,807,"Jay Daniel
Michael Vandeveer
Brandon Stafford
John DuPont
John Mark Harras
Andres Cobb
TC - Kristin Daniel
TC - Jim Graham",9:00,,11:36:00,,15:19:00,,18:50:00,,23:14:00,,5:23:00,,9:43:00,,12:08:00,,18:47:00,,0:02:00,,3:22:00,,6:12:00
,,,,,6,2:36:00,6,3:43:00,5,3:31:00,5,4:24:00,3,6:09:00,6,4:20:00,5,2:25:00,2,6:39:00,2,5:15:00,4,3:20:00,4,2:50:00
,,,,,6,2:36:00,6,6:19:00,5,9:50:00,5,14:14:00,4,20:23:00,5,24:43:00,5,27:08:00,5,33:47:00,3,39:02:00,3,42:22:00,3,45:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1st Mens Solo, 1st Masters",9,"Gaston Jones
TC - Tim Anglin",9:00,,11:35:00,,15:17:00,,18:50:00,,23:14:00,,5:19:00,,9:30:00,,11:56:00,,18:44:00,,0:42:00,,3:57:00,,6:50:00
,,,,,5,2:35:00,5,3:42:00,6,3:33:00,5,4:24:00,2,6:05:00,4,4:11:00,6,2:26:00,5,6:48:00,7,5:58:00,3,3:15:00,5,2:53:00
,,,,,5,2:35:00,5,6:17:00,5,9:50:00,5,14:14:00,3,20:19:00,3,24:30:00,3,26:56:00,3,33:44:00,4,39:42:00,4,42:57:00,4,45:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
