,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380,4440,4500,4560,4620,4680,4740,4800,4860,4920,4980,5040,5100,5160,5220,5280,5340,5400,5460,5520,5580,5640,5700,5760,5820,5880,5940,6000
0,1,Tandem Unlimited,"Tommy Yonley
Jonathan Yonley

TC Steve Rask
TC Jacob Southard",2,0 days 02:17:00,0 days 05:29:00,0 days 08:24:00,0 days 11:54:00,0 days 17:15:00,0 days 20:55:00,0 days 22:54:00,1 days 04:36:00,1 days 09:43:00,1 days 13:08:00,1 days 15:46:00,Tandem Unlimited,"['Tommy Yonley', 'Jonathan Yonley', '', '']","['Steve Rask', 'TC Jacob Southard']",-2.823763907144894e-07,7.432608295126728,14.865216872629846,22.270052973276186,29.66390925749078,37.05776554170537,44.28294699755203,51.35033587202223,58.417724746492425,65.65407105562949,73.00305565454445,80.35204025345942,87.65869405902919,94.58437072449216,101.51004738995512,108.43572405541809,115.36140072088105,122.28707738634402,129.13657935621924,135.96068976089856,142.78480016557785,149.6278813308079,156.67964086209602,163.70238220360218,170.46395983707066,177.2255374705391,183.9871151040076,190.74869273747606,197.51027037094454,203.9674656914043,209.96808754235101,215.96870939329773,221.96933124424444,227.96995309519116,233.995258243579,240.08299761490625,246.1707369862335,252.25847635756074,257.3464000603538,262.2805059679878,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Unlimited,"Andrew Condie
Brian Jones
Gaston Jones
William Russell
Dodd Yeager
Clay Wyatt

TC Jill Wyatt
TC Jay Condie",1313,0 days 02:15:00,0 days 05:27:00,0 days 08:23:00,0 days 11:47:00,0 days 17:09:00,0 days 20:36:00,0 days 22:35:00,1 days 04:02:00,1 days 08:42:00,1 days 11:37:00,1 days 16:21:00,Unlimited,"['Andrew Condie', 'Brian Jones', 'Gaston Jones', 'William Russell', 'Dodd Yeager', 'Clay Wyatt', '', '']","['Jill Wyatt', 'TC Jay Condie']",-2.823763907144894e-07,7.54272101479344,15.08544231196327,22.516514849416673,29.910371133631266,37.30422741784586,44.49644103646831,51.52367429233357,58.55090754819882,65.90984453921918,73.47497574398459,81.04010694875,88.46202953559764,95.36619788843495,102.27036624127226,109.17453459410956,116.07870294694686,122.98287129978416,130.18327261877272,137.43595034355266,144.6886280683326,151.86093851571582,158.91269804700391,165.97278350071178,173.04452524580725,180.11626699090272,187.18800873599818,194.25975048109365,201.33149222618908,207.92716175328496,214.50641499700154,221.08566824071812,227.6649214844347,234.4098043055313,241.54115614051463,248.67250797549798,254.1224367284526,256.86746747988275,259.61249823131294,262.35752898274313,265.10255973417327,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Nathan Tart
James Lowe
David Earnest
Ryan Martinez
Shawn Boyett
Jason Cade

TC Kathryn Tart
TC Illiana Pena",2424,0 days 02:17:00,0 days 05:29:00,0 days 08:29:00,0 days 11:57:00,0 days 17:14:00,0 days 20:56:00,0 days 22:54:00,1 days 04:38:00,1 days 10:02:00,1 days 14:15:00,1 days 21:10:00,Unlimited,"['Nathan Tart', 'James Lowe', 'David Earnest', 'Ryan Martinez', 'Shawn Boyett', 'Jason Cade', '', '']","['Kathryn Tart', 'TC Illiana Pena']",-2.823763907144894e-07,7.432608295126728,14.865216872629846,22.270052973276186,29.66390925749078,37.05776554170537,44.18151687944621,51.052589396292234,57.92366191313826,65.07816505100298,72.49781296336906,79.91746087573512,87.31677973784781,94.32984664514628,101.34291355244474,108.3559804597432,115.36904736704166,122.38211427434013,129.203181034343,135.96581296690806,142.72844489947315,149.51433605021936,156.62585625550145,163.6984510538153,170.42071718941475,177.14298332501423,183.86524946061368,190.58751559621317,197.30978173181262,203.65200090068066,209.3377753088308,215.0235497169809,220.70932412513105,226.39509853328116,232.0808729414313,237.0387268923934,241.97148013793523,246.90423338347708,251.83698662901892,254.47907024174083,256.3575973101894,258.236124378638,260.1146514470866,261.9931785155352,263.8717055839838,265.7502326524324,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,Unlimited,"Rebekah Feaster
West Hansen
Cyril Derreumaux
Jeff Wueste
Gabe Haarsma
Jonathan Zeek

TC Barbara Edington
TC Lauran Edington",1901,0 days 02:40:00,0 days 06:39:00,0 days 10:12:00,0 days 14:22:00,0 days 20:43:00,1 days 00:50:00,1 days 03:12:00,1 days 10:02:00,1 days 16:18:00,1 days 21:00:00,2 days 00:56:00,Unlimited,"['Rebekah Feaster', 'West Hansen', 'Cyril Derreumaux', 'Jeff Wueste', 'Gabe Haarsma', 'Jonathan Zeek', '', '']","['Barbara Edington', 'TC Lauran Edington']",-2.823763907144894e-07,6.364170812110654,12.728341906597699,18.951067415292272,24.890901752401902,30.830736089511532,36.77057042662116,42.663751800020826,48.47029195510198,54.27683211018313,60.08337226526427,66.18319794675136,72.35634500983994,78.5294920729285,84.70263913601708,90.66163837696746,96.49665729983784,102.33167622270821,108.16669514557859,114.00171406844896,119.83673299131934,125.74064047399861,131.81879549031214,137.8969505066257,143.97510552293926,150.02516355792272,155.93473668625572,161.84430981458874,167.5383406366382,173.17848588211677,178.81863112759535,184.45877637307393,190.0989216185525,195.7390668640311,201.37921210950967,206.3033460590911,211.20278996398642,216.10223386888174,221.00167777377706,225.90112167867238,230.8005655835677,235.3682377613677,239.79372205612688,244.21920635088605,248.6446906456452,253.07017494040437,256.37351703110846,259.6768591218126,262.98020121251665,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,Unlimited Women,"Lydia Huelskamp
Cecili Bugge
Morgan Kohut

TC Virginia Parker
TC Holly Huelskamp",3931,0 days 02:45:00,0 days 06:37:00,0 days 10:12:00,0 days 14:36:00,0 days 21:11:00,1 days 01:25:00,1 days 04:01:00,1 days 11:04:00,1 days 17:24:00,1 days 21:51:00,2 days 01:33:00,Unlimited Women,"['Lydia Huelskamp', 'Cecili Bugge', 'Morgan Kohut', '', '']","['Virginia Parker', 'TC Holly Huelskamp']",-2.823763907144894e-07,6.171317142580744,12.342634567537878,18.500886005403576,24.61993948199496,30.738992958586348,36.85804643517774,42.836597646497665,48.5891234745548,54.34164930261194,60.09417513066908,65.92130685922639,71.76709006290875,77.61287326659112,83.45865647027347,89.21740964272452,94.84561776832861,100.47382589393268,106.10203401953677,111.73024214514085,117.35845027074494,122.98665839634901,128.84552477859185,134.7561715857944,140.66681839299696,146.5774652001995,152.1781170160013,157.55734383794544,162.9365706598896,168.40191843111927,173.8687258794555,179.3355333277917,184.8023407761279,190.26914822446412,195.73595567280032,201.20276312113654,206.09189637477456,210.93976718593413,215.78763799709373,220.6355088082533,225.4833796194129,230.33125043057245,235.07486295980502,239.7489699677529,244.42307697570078,249.09718398364868,253.59692408459773,257.1085850458868,260.6202460071758,264.1319069684649,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,USCA C-2,"Susannah Hulin
Joshua Hulin

TC Pricilla Hulin
TC Dwight Hulin",56,0 days 02:57:00,0 days 07:14:00,0 days 11:04:00,0 days 15:24:00,0 days 22:30:00,1 days 03:14:00,1 days 05:52:00,1 days 13:47:00,1 days 19:54:00,1 days 23:57:00,2 days 03:15:00,USCA C-2,"['Susannah Hulin', 'Joshua Hulin', '', '']","['Pricilla Hulin', 'TC Dwight Hulin']",-2.823763907144894e-07,5.752922740888734,11.50584576415386,17.247313376833393,22.771128188386708,28.294942999940023,33.81875781149334,39.34257262304665,44.75410625585004,50.13146735599041,55.50882845613078,60.88618955627115,66.78468407084718,72.72040240074003,78.65612073063289,84.59183906052576,90.09731260320629,95.31595628774528,100.53459997228428,105.75324365682327,110.97188734136228,116.19053102590127,121.40917471044025,126.66163790663485,131.947920614485,137.2342033223352,142.52048603018534,147.80676873803552,153.11210513297598,158.42324047616137,163.6753358930683,168.54367178916561,173.4120076852629,178.2803435813602,183.1486794774575,188.01701537355478,192.8853512696521,197.7536871657494,202.65479559803416,207.67438935345825,212.69398310888235,217.71357686430645,222.73317061973052,227.7527643751546,232.78397347566266,237.91972068192638,243.05546788819012,248.19121509445384,253.2670407821736,257.2043576175583,261.141674452943,265.07899128832764,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Unlimited,"Brenda Jones
Ed Joes
Keifer Mauldin
Adam Sims

TC Tonya Jones
TC Amanda Adcock",4444,0 days 02:51:00,0 days 07:04:00,0 days 10:49:00,0 days 15:06:00,0 days 22:03:00,1 days 02:42:00,1 days 05:26:00,1 days 13:02:00,1 days 19:59:00,2 days 00:21:00,2 days 03:43:00,Unlimited,"['Brenda Jones', 'Ed Joes', 'Keifer Mauldin', 'Adam Sims', '', '']","['Tonya Jones', 'TC Amanda Adcock']",-2.823763907144894e-07,5.954779689073475,11.90955966052334,17.812794814063555,23.423942666115735,29.03509051816792,34.646238370220104,40.25738622227228,45.76186355832079,51.258721571797615,56.75557958527443,62.34559822257711,68.35060509328584,74.35561196399456,80.36061883470329,86.36562570541201,91.76427504632522,97.09555132837225,102.42682761041928,107.75810389246631,113.08938017451334,118.42065645656038,123.75193273860742,129.13046456194982,134.51148351904462,139.8925024761394,145.2735214332342,150.57528235726755,155.69210787082417,160.8089333843808,165.89989493447942,170.9710781595808,176.04226138468215,181.1134446097835,186.18462783488485,191.2558110599862,196.32699428508755,201.3981775101889,205.8376834849168,210.25540748549386,214.67313148607093,219.09085548664802,223.5085794872251,227.92630348780216,232.34978721375907,237.1130947371258,241.87640226049254,246.63970978385927,251.403017307226,255.57875254789946,259.4381027132765,263.2974528786536,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Tandem Unlimited,"Patrick McCarthy
Will Leeds

TC Kayla Daniels
TC Scott Cummins",1116,0 days 02:46:00,0 days 06:53:00,0 days 10:32:00,0 days 14:44:00,0 days 21:21:00,1 days 02:02:00,1 days 04:46:00,1 days 12:17:00,1 days 18:47:00,1 days 23:26:00,2 days 03:47:00,Tandem Unlimited,"['Patrick McCarthy', 'Will Leeds', '', '']","['Kayla Daniels', 'TC Scott Cummins']",-2.823763907144894e-07,6.134140531587025,12.268281345550442,18.312194545295462,24.059645584037167,29.807096622778875,35.55454766152059,41.29033271311122,46.93778957627234,52.58524643943346,58.23270330259457,64.1026187514141,70.22677258384324,76.35092641627239,82.47508024870152,88.45942090775652,94.05927534003263,99.65912977230872,105.25898420458482,110.85883863686092,116.45869306913703,122.05854750141313,127.49126448106969,132.8339843708542,138.1767042606387,143.51942415042322,148.86214404020774,153.98649936630528,159.10332487986193,164.22261888626593,169.35002365488282,174.47742842349973,179.60483319211662,184.7322379607335,189.85964272935038,194.98704749796727,200.11445226658415,204.95243956018578,209.67600599157203,214.39957242295827,219.12313885434455,223.8467052857308,228.57027171711707,233.23956395363768,237.71263410102867,242.18570424841965,246.65877439581064,251.13184454320162,254.7627686144663,257.74969862751675,260.7366286405672,263.72355865361766,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,Unlimited,"David Kaiser
Cohl Brazil
Jhet Brazil
Yusuf Johnson
Sam Hanna
Alex Leonard

TC Matt Sandel
TC Max Dugas",123,0 days 02:50:00,0 days 06:49:00,0 days 10:28:00,0 days 14:46:00,0 days 21:44:00,1 days 02:02:00,1 days 04:57:00,1 days 12:57:00,1 days 19:59:00,2 days 00:46:00,2 days 04:23:00,Unlimited,"['David Kaiser', 'Cohl Brazil', 'Jhet Brazil', 'Yusuf Johnson', 'Sam Hanna', 'Alex Leonard', '', '']","['Matt Sandel', 'TC Max Dugas']",-2.823763907144894e-07,5.989807806552593,11.979615895481576,17.961095025774,23.90092936288363,29.84076369999326,35.78059803710289,41.66682983732196,47.31428670048308,52.9617435636442,58.609200426805316,64.43493717642964,70.41666882670927,76.39840047698888,82.38013212726851,88.20711486674887,93.52563689931732,98.84415893188577,104.16268096445421,109.48120299702266,114.79972502959112,120.11824706215957,125.57023225196501,131.38924112417217,137.20824999637932,143.0272588685865,148.84626774079365,153.67559130176727,158.4707877830432,163.26710564344765,168.08472970729395,172.9023537711402,177.7199778349865,182.53760189883278,187.35522596267907,192.17285002652537,196.99047409037163,201.78548601598303,206.15086731513148,210.5162486142799,214.88162991342836,219.24701121257678,223.61239251172523,227.97777381087366,232.3428718427902,236.69125710802393,241.0396423732577,245.38802763849142,249.73641290372518,253.90844239567983,257.5010172040032,261.09359201232655,264.6861668206499,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,Unlimited,"Heather Harrison
Courtney Martinez
Wendell Smith
Bobby Smart

TC Mark Miller
TC Ryan Henk",333,0 days 02:53:00,0 days 06:52:00,0 days 10:28:00,0 days 14:45:00,0 days 21:16:00,1 days 01:27:00,1 days 04:01:00,1 days 11:26:00,1 days 18:24:00,1 days 23:38:00,2 days 04:51:00,Unlimited,"['Heather Harrison', 'Courtney Martinez', 'Wendell Smith', 'Bobby Smart', '', '']","['Mark Miller', 'TC Ryan Henk']",-2.823763907144894e-07,5.885938302120298,11.771876886616987,17.66410330891852,23.60393764602815,29.54377198313778,35.48360632024741,41.39491524761421,47.12080901165256,52.846702775690915,58.572596539729275,64.44735062732516,70.45235749803389,76.45736436874262,82.46237123945134,88.38757281806704,94.07335852040364,99.75914422274025,105.44492992507685,111.13071562741347,116.81650132975007,122.50228703208667,128.40477734403086,134.38606933219597,140.3673613203611,146.34865330852625,152.037232503998,157.48631941453883,162.93540632507967,168.13615378437993,173.33269210043883,178.52923041649777,183.72576873255667,188.92230704861558,194.1188453646745,199.31538368073342,204.06460494465327,208.47176022752564,212.87891551039797,217.2860707932703,221.69322607614265,226.10038135901502,230.50753664188736,234.6550864705562,238.6295659964227,242.60404552228923,246.57852504815574,250.55300457402225,253.98343117762138,256.4741300063951,258.9648288351688,261.45552766394246,263.94622649271616,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
