# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:06:20 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08173900 Guadalupe Rv at Gonzales, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08173900
#            TS   parameter     statistic     Description
#        136613       00065     00003     Gage height, feet (Mean)
#        136614       00060     00003     Discharge, cubic feet per second (Mean)
#        173853       00060     00001     Discharge, cubic feet per second (Maximum)
#        173854       00060     00002     Discharge, cubic feet per second (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=08173900&ts_ids=136614,173853,173854,136613]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	136613_00065_00003	136613_00065_00003_cd	136614_00060_00003	136614_00060_00003_cd	173853_00060_00001	173853_00060_00001_cd	173854_00060_00002	173854_00060_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08173900	1996-10-01			430	A:e				
USGS	08173900	1996-10-02			440	A:e				
USGS	08173900	1996-10-03			420	A:e				
USGS	08173900	1996-10-04			370	A:e				
USGS	08173900	1996-10-05			400	A:e				
USGS	08173900	1996-10-06			460	A:e				
USGS	08173900	1996-10-07			340	A:e				
USGS	08173900	1996-10-08			320	A:e				
USGS	08173900	1996-10-09			350	A:e				
USGS	08173900	1996-10-10			345	A:e				
USGS	08173900	1996-10-11			340	A:e				
USGS	08173900	1996-10-12	11.91	A	328	A	497	A	192	A
USGS	08173900	1996-10-13	11.96	A	335	A	541	A	232	A
USGS	08173900	1996-10-14	12.47	A	470	A	545	A	404	A
USGS	08173900	1996-10-15	11.82	A	310	A	463	A	171	A
USGS	08173900	1996-10-16			295	A:e				
USGS	08173900	1996-10-17			280	A:e				
USGS	08173900	1996-10-18			260	A:e				
USGS	08173900	1996-10-19			240	A:e				
USGS	08173900	1996-10-20			205	A:e				
USGS	08173900	1996-10-21			260	A:e				
USGS	08173900	1996-10-22			394	A:e				
USGS	08173900	1996-10-23			250	A:e				
USGS	08173900	1996-10-24			340	A:e				
USGS	08173900	1996-10-25			420	A:e				
USGS	08173900	1996-10-26			470	A:e				
USGS	08173900	1996-10-27			430	A:e				
USGS	08173900	1996-10-28			360	A:e				
