# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:09:41 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08174700 Guadalupe Rv at Hwy 183 nr Hochheim, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08174700
#            TS   parameter     statistic     Description
#        136621       00060     00001     Discharge, cubic feet per second (Maximum)
#        136622       00060     00002     Discharge, cubic feet per second (Minimum)
#        136623       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
#
#
#
#
#
agency_cd	site_no	datetime	136621_00060_00001	136621_00060_00001_cd	136622_00060_00002	136622_00060_00002_cd	136623_00060_00003	136623_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	08174700	2010-01-28	1190	A	1090	A	1140	A
USGS	08174700	2010-01-29	1250	A	1170	A	1190	A
USGS	08174700	2010-01-30	1600	A	1250	A	1500	A
USGS	08174700	2010-01-31	2920	A	1560	A	2170	A
USGS	08174700	2010-02-01	2920	A	2060	A	2490	A
USGS	08174700	2010-02-02	2060	A	1730	A	1870	A
USGS	08174700	2010-02-03	1860	A	1660	A	1710	A
USGS	08174700	2010-02-04						
USGS	08174700	2010-02-05						
USGS	08174700	2010-02-06						
USGS	08174700	2010-02-07						
USGS	08174700	2010-02-08						
USGS	08174700	2010-02-09						
USGS	08174700	2010-02-10						
USGS	08174700	2010-02-11						
USGS	08174700	2010-02-12						
USGS	08174700	2010-02-13						
USGS	08174700	2010-02-14						
USGS	08174700	2010-02-15						
USGS	08174700	2010-02-16	3480	A	2970	A	3340	A
USGS	08174700	2010-02-17	2970	A	2360	A	2650	A
USGS	08174700	2010-02-18	2360	A	2190	A	2290	A
USGS	08174700	2010-02-19	2190	A	2030	A	2120	A
USGS	08174700	2010-02-20	2030	A	1990	A	2010	A
