# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:11:12 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08175800 Guadalupe Rv at Cuero, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08175800
#            TS   parameter     statistic     Description
#        136626       00060     00001     Discharge, cubic feet per second (Maximum)
#        136627       00060     00002     Discharge, cubic feet per second (Minimum)
#        136629       00065     00001     Gage height, feet (Maximum)
#        136630       00065     00002     Gage height, feet (Minimum)
#        136631       00065     00003     Gage height, feet (Mean)
#        325715       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	136626_00060_00001	136626_00060_00001_cd	136627_00060_00002	136627_00060_00002_cd	136629_00065_00001	136629_00065_00001_cd	136630_00065_00002	136630_00065_00002_cd	136631_00065_00003	136631_00065_00003_cd	325715_00060_00003	325715_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08175800	1970-06-28											1630	A
USGS	08175800	1970-06-29											1640	A
USGS	08175800	1970-06-30											1600	A
USGS	08175800	1970-07-01											1630	A
USGS	08175800	1970-07-02											1600	A
USGS	08175800	1970-07-03											1580	A
USGS	08175800	1970-07-04											1510	A
USGS	08175800	1970-07-05											1250	A
USGS	08175800	1970-07-06											1320	A
USGS	08175800	1970-07-07											1310	A
USGS	08175800	1970-07-08											1290	A
USGS	08175800	1970-07-09											1250	A
USGS	08175800	1970-07-10											1230	A
USGS	08175800	1970-07-11											1220	A
USGS	08175800	1970-07-12											1190	A
USGS	08175800	1970-07-13											1170	A
USGS	08175800	1970-07-14											1180	A
USGS	08175800	1970-07-15											1210	A
USGS	08175800	1970-07-16											1200	A
USGS	08175800	1970-07-17											1210	A
USGS	08175800	1970-07-18											1250	A
USGS	08175800	1970-07-19											1200	A
USGS	08175800	1970-07-20											1270	A
USGS	08175800	1970-07-21											1500	A
USGS	08175800	1970-07-22											1190	A
USGS	08175800	1970-07-23											1160	A
USGS	08175800	1970-07-24											976	A
USGS	08175800	1970-07-25											879	A
USGS	08175800	1970-07-26											1040	A
USGS	08175800	1970-07-27											1120	A
USGS	08175800	1970-07-28											1160	A
USGS	08175800	1970-07-29											1170	A
USGS	08175800	1970-07-30											1070	A
USGS	08175800	1970-07-31											1060	A
USGS	08175800	1970-08-01											1060	A
USGS	08175800	1970-08-02											1050	A
USGS	08175800	1970-08-03											1060	A
USGS	08175800	1970-08-04											1050	A
USGS	08175800	1970-08-05											1060	A
USGS	08175800	1970-08-06											1110	A
USGS	08175800	1970-08-07											1160	A
USGS	08175800	1970-08-08											1050	A
USGS	08175800	1970-08-09											915	A
USGS	08175800	1970-08-10											793	A
USGS	08175800	1970-08-11											769	A
USGS	08175800	1970-08-12											781	A
USGS	08175800	1970-08-13											765	A
USGS	08175800	1970-08-14											745	A
USGS	08175800	1970-08-15											741	A
USGS	08175800	1970-08-16											745	A
USGS	08175800	1970-08-17											745	A
USGS	08175800	1970-08-18											737	A
USGS	08175800	1970-08-19											728	A
USGS	08175800	1970-08-20											714	A
USGS	08175800	1970-08-21											700	A
USGS	08175800	1970-08-22											645	A
USGS	08175800	1970-08-23											609	A
USGS	08175800	1970-08-24											654	A
USGS	08175800	1970-08-25											657	A
USGS	08175800	1970-08-26											719	A
USGS	08175800	1970-08-27											689	A
USGS	08175800	1970-08-28											659	A
USGS	08175800	1970-08-29											630	A
USGS	08175800	1970-08-30											628	A
USGS	08175800	1970-08-31											630	A
USGS	08175800	1970-09-01											641	A
USGS	08175800	1970-09-02											680	A
USGS	08175800	1970-09-03											694	A
USGS	08175800	1970-09-04											668	A
USGS	08175800	1970-09-05											668	A
USGS	08175800	1970-09-06											641	A
USGS	08175800	1970-09-07											612	A
USGS	08175800	1970-09-08											598	A
USGS	08175800	1970-09-09											587	A
USGS	08175800	1970-09-10											582	A
USGS	08175800	1970-09-11											576	A
USGS	08175800	1970-09-12											574	A
USGS	08175800	1970-09-13											579	A
USGS	08175800	1970-09-14											626	A
USGS	08175800	1970-09-15											662	A
USGS	08175800	1970-09-16											660	A
USGS	08175800	1970-09-17											659	A
USGS	08175800	1970-09-18											1160	A
USGS	08175800	1970-09-19											1660	A
USGS	08175800	1970-09-20											951	A
USGS	08175800	1970-09-21											691	A
USGS	08175800	1970-09-22											675	A
USGS	08175800	1970-09-23											679	A
USGS	08175800	1970-09-24											683	A
USGS	08175800	1970-09-25											673	A
USGS	08175800	1970-09-26											818	A
USGS	08175800	1970-09-27											618	A
USGS	08175800	1970-09-28											757	A
USGS	08175800	1970-09-29											797	A
USGS	08175800	1970-09-30											714	A
USGS	08175800	1970-10-01											688	A
USGS	08175800	1970-10-02											678	A
USGS	08175800	1970-10-03											693	A
USGS	08175800	1970-10-04											715	A
USGS	08175800	1970-10-05											668	A
USGS	08175800	1970-10-06											813	A
USGS	08175800	1970-10-07											1780	A
USGS	08175800	1970-10-08											1400	A
USGS	08175800	1970-10-09											892	A
USGS	08175800	1970-10-10											727	A
USGS	08175800	1970-10-11											723	A
USGS	08175800	1970-10-12											722	A
USGS	08175800	1970-10-13											725	A
USGS	08175800	1970-10-14											996	A
USGS	08175800	1970-10-15											1120	A
USGS	08175800	1970-10-16											797	A
USGS	08175800	1970-10-17											712	A
USGS	08175800	1970-10-18											670	A
USGS	08175800	1970-10-19											661	A
USGS	08175800	1970-10-20											628	A
USGS	08175800	1970-10-21											702	A
USGS	08175800	1970-10-22											784	A
USGS	08175800	1970-10-23											740	A
USGS	08175800	1970-10-24											951	A
USGS	08175800	1970-10-25											3060	A
USGS	08175800	1970-10-26											3750	A
USGS	08175800	1970-10-27											1730	A
USGS	08175800	1970-10-28											1040	A
USGS	08175800	1970-10-29											984	A
USGS	08175800	1970-10-30											951	A
USGS	08175800	1970-10-31											827	A
USGS	08175800	1970-11-01											777	A
USGS	08175800	1970-11-02											760	A
USGS	08175800	1970-11-03											733	A
USGS	08175800	1970-11-04											744	A
USGS	08175800	1970-11-05											713	A
USGS	08175800	1970-11-06											701	A
USGS	08175800	1970-11-07											704	A
USGS	08175800	1970-11-08											710	A
USGS	08175800	1970-11-09											705	A
