# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:16:37 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08188810 Guadalupe Rv at SH 35 nr Tivoli, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08188810
#            TS   parameter     statistic     Description
#        137060       00065     00001     Gage height, feet (Maximum)
#        137061       00065     00002     Gage height, feet (Minimum)
#        137062       00065     00003     Gage height, feet (Mean)
#        137064       72255     00002     Mean water velocity for discharge computation, feet per second (Minimum)
#        137066       00060     00001     Discharge, cubic feet per second (Maximum)
#        137067       00060     00002     Discharge, cubic feet per second (Minimum)
#        277573       72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#        325731       00060     00003     Discharge, cubic feet per second (Mean)
#        325732       72255     00003     Mean water velocity for discharge computation, feet per second (Mean)
#        325733       72255     00001     Mean water velocity for discharge computation, feet per second (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	137060_00065_00001	137060_00065_00001_cd	137061_00065_00002	137061_00065_00002_cd	137062_00065_00003	137062_00065_00003_cd	137064_72255_00002	137064_72255_00002_cd	137066_00060_00001	137066_00060_00001_cd	137067_00060_00002	137067_00060_00002_cd	277573_72137_00003	277573_72137_00003_cd	325731_00060_00003	325731_00060_00003_cd	325732_72255_00003	325732_72255_00003_cd	325733_72255_00001	325733_72255_00001_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08188810	2013-03-10	11.22	A	10.08	A	10.58	A	0.11	A	739	A	154	A			500	A	0.36	A	0.54	A
USGS	08188810	2013-03-11	10.61	A	9.83	A	10.19	A	0.20	A	644	A	272	A			502	A	0.37	A	0.48	A
USGS	08188810	2013-03-12	10.41	A	10.03	A	10.19	A	0.20	A	626	A	278	A	503	A	506	A	0.37	A	0.46	A
USGS	08188810	2013-03-13	10.48	A	9.83	A	10.24	A	0.26	A	648	A	347	A	501	A	493	A	0.36	A	0.49	A
USGS	08188810	2013-03-14	10.52	A	10.05	A	10.31	A	0.28	A	635	A	383	A	515	A	521	A	0.38	A	0.47	A
USGS	08188810	2013-03-15	10.71	A	10.04	A	10.39	A	0.24	A	664	A	327	A	532	A	521	A	0.38	A	0.49	A
USGS	08188810	2013-03-16	11.13	A	10.25	A	10.63	A	0.30	A	719	A	435	A	551	A	561	A	0.40	A	0.52	A
USGS	08188810	2013-03-17	10.90	A	10.36	A	10.68	A	0.30	A	682	A	423	A	538	A	543	A	0.39	A	0.49	A
USGS	08188810	2013-03-18	10.89	A	10.43	A	10.74	A	0.27	A	679	A	377	A	505	A	505	A	0.36	A	0.49	A
USGS	08188810	2013-03-19	11.14	A	10.35	A	10.75	A	0.23	A	611	A	329	A	478	A	491	A	0.35	A	0.43	A
USGS	08188810	2013-03-20	11.15	A	10.23	A	10.75	A	0.06	A	671	A	80.7	A	437	A	420	A	0.30	A	0.49	A
USGS	08188810	2013-03-21	11.25	A	10.89	A	11.09	A	0.20	A	536	A	289	A	420	A	419	A	0.29	A	0.37	A
USGS	08188810	2013-03-22	11.29	A	10.85	A	11.02	A	0.15	A	531	A	209	A	436	A	430	A	0.30	A	0.37	A
