,2000 TEXAS WATER SAFARI,,,,,,,,,,,
,RESULTS,,,,,,,,,,,
,,,,,Legend,,,,,,,
,,,,, ,13:59,Time In,,,,,
,,,,,Split Plcemnt,1  2:47,Split Time,,,,,
,,,,,Overall Plcemnt,1  4:59,Overall Time,,,,,
,Team Members,Staples,Luling 90,Palmetto,Gonzales ,Hochheim,Cuero 766,Cuero 236,Victoria,Dupont,Tivoli,Seadrift
1,1st Unlimited,,,,,,,,,,,
 ,126 Brian Mynar,11:12,13:59,16:40,20:17,0:41,3:48,5:41,10:13,14:00,16:55,19:23
,Fred Mynar,1  2:12,1  2:47,1  2:41,2  3:37,1  4:24,1  3:07,1  1:53,1  4:32,1  3:47,1  2:55,2  2:58
,Joe Mynar,1  2:12,1  4:59,1  7:40,1  11:17,1  15:41,1  18:48,1  20:41,1  25:13,1  29:00,1  31:55,1  34:23
,John Dunn,,,,,,,,,,,
,Donald Baumbach,,,,,,,,,,,
,Chuck Stewart,,,,,,,,,,,
2,2nd Unlimited,,,,,,,,,,,
,1234 Butch Lollar,11:16,14:13,17:01,20:36,1:05,4:31,6:34,11:12,15:28,18:40,21:36
,Larry Coffey,2  2:16,2  2:57,2  2:48,1  3:35,2  4:29,2  3:26,2  2:03,3  4:38,3  4:16,3  3:12,3  2:56
,Vance Sherrod,2  2:16,2  5:13,2  8:01,2  11:36,2  16:05,2  19:31,2  21:34,2  26:12,2  30:28,2  33:40,2  36:36
,John Maika,,,,,,,,,,,
,Rob Wytaske,,,,,,,,,,,
3,1st Mxd & Mstrs,,,,,,,,,,,
,24 John Bugge,11:27,14:28,17:21,21:09,1:42,5:16,7:28,12:02,16:16,19:29,21:49
,Donna Bugge,4  2:27,5  3:01,3  2:53,4  3:48,3  4:33,4  3:34,3  2:12,2  4:34,2  4:14,4  3:13,1  2:20
,Mike Shively,4  2:27,4  5:28,4  8:21,4  12:09,4  16:42,4  20:16,3  22:28,3  27:02,3  31:16,3  34:29,3  36:49
,Ginger Turner,,,,,,,,,,,
,Pat Petrisky,,,,,,,,,,,
,Richard Steppe,,,,,,,,,,,
4,3rd Unlimited,,,,,,,,,,,
,503 Tim Rask,11:24,14:21,17:17,21:02,1:40,5:12,7:32,12:26,17:02,20:45,23:59
,Michael Rask,3  2:24,3  2:57,4  2:56,3  3:45,4  4:38,3  3:32,8  2:20,4  4:54,4  4:36,6  3:43,9  3:14
,Tommy Yonley,3  2:24,3  5:21,3  8:17,3  12:02,3  16:40,3  20:12,4  22:32,4  27:26,4  32:02,4  35:45,4  38:59
,Peter Derrick,,,,,,,,,,,
5,4th Unlimited,,,,,,,,,,,
,1210  Tommy Dornak,11:32,14:39,17:55,21:52,2:35,6:17,8:53,14:17,19:06,22:40,1:41
,Sammy Prochaska,6  2:32,6  3:07,11  3:16,5  3:57,5  4:43,5  3:42,14  2:36,6  5:24,8  4:49,5  3:34,5  3:01
,Johnny Prochaska,6  2:32,5  5:39,7  8:55,5  12:52,5  17:35,5  21:17,5  23:53,5  29:17,5  34:06,5  37:40,5  40:41
6,2nd Mxd,,,,,,,,,,,
,1116  Pete Binion,11:36,14:51,17:56,21:57,3:00,7:12,9:40,14:57,19:37,22:47,1:52
,Wade Binion,9  2:36,9  3:15,6  3:05,7  4:01,6  5:03,16  4:12,12  2:28,5  5:17,5  4:40,2  3:10,6  3:05
,Mollie Binion,9  2:36,8  5:51,8  8:56,7  12:57,6  18:00,6  22:12,7  24:40,6  29:57,6  34:37,6  37:47,6  40:52
,Jim Pye,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
7,5th Unlimited,,,,,,,,,,,
,807  John Mark Harras,11:36,14:55,18:03,22:42,4:00,7:58,10:12,15:47,20:35,0:21,3:55
,John Dupont,8  2:36,10  3:19,8  3:08,14  4:39,9  5:18,7 3:58,5  2:14,8  5:35,7  4:48,7  3:46,12  3:34
,David Rask,8  2:36,9  5:55,9  9:03,9  13:42,9  19:00,8  22:58,8  25:12,8  30:47,8  35:35,8  39:21,7  42:55
,Bill Stafford,,,,,,,,,,,
8,1st Aluminum,,,,,,,,,,,
,887  Gary Robinson,11:45,15:08,18:22,22:48,4:15,8:24,10:39,16:16,21:05,1:00,4:10
,Mark Simmons,11  2:45,11  3:23,9  3:14,9  4:26,13  5:27,13  4:09,7  2:15,9  5:37,9  4:49,9  3:55,7  3:10
,,11  2:45,10  6:08,10  9:22,10  13:48,10  19:15,11  23:24,11  25:39,9  31:16,9  36:05,9  40:00,8  43:10
9,1st Tandem Unl,,,,,,,,,,,
,2029  Chris Paddack,11:44,15:11,18:26,22:59,4:20,8:19,10:33,16:25,21:11,1:34,5:28
,Jay Daniel,10  2:44,13  3:27,10  3:15,12  4:33,10  5:21,8  3:59,6  2:14,13  5:52,6  4:46,18  4:23,16  3:54
,,10 2:44,11 6:11,11  9:26,11  13:59,11  19:20,10  23:19,10  25:33,10  31:25,10  36:11,10  40:34,9  44:28
10,1st Solo Unlimited,,, ,,,,,,,,
,1015  West Hansen,11:35,14:50,17:52,21:52,3:00,7:13,9:40,15:05,20:07,0:15,5:32
,,7  2:35,8  3:15,5  3:02,6  4:00,8  5:08,17  4:13,11  2:27,7  5:25,10  5:02,12  4:08,43  5:17
,,7  2:35,7  5:50,6  8:52,6  12:52 ,7  18:00,7  22:13,6  24:40,7  30:05,7  35:07,7  39:15,10  44:32
11,2nd Tandem Unl,,,,,,,,,,,
,123  Tom Goynes,12:00,15:34,19:02,23:41,5:09,9:13,11:47,17:50,23:32,3:45,7:23
,Sandy Goynes,17  3:00,22  3:34,16  3:28,15  4:39,14  5:28,11  4:04,13  2:34,20  6:03,18  5:42,13  4:13,13  3:38
,,17  3:00,19  6:34,16  10:02,14  14:41,14  20:09,14  24:13,14  26:47,14  32:50,13  38:32,13  42:45,11  46:23
12,1st Standard,,,,,,,,,,,
