,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
1,71,Tim Anglin                 Daniel Cruz                 West Hansen              Armin Lopez              Jerry Rhaborn          Leroy Romero           Richard Steppe            TC-Jerry Brown,9:00, ,11:12:00, ,14:10:00, ,15:02:00, ,17:09:00, ,20:51:00, ,1:21:00, ,4:35:00, ,6:30:00, ,11:32:00, ,16:00:00, ,18:30:00, ,21:56:00
1st Unlimited,,,,1,2:12:00,1,2:58:00,2,0:52:00,1,2:07:00,1,3:42:00,1,4:30:00,1,3:14:00,2,1:55:00,1,5:02:00,1,4:28:00,1,2:30:00,5,3:26:00
,,,,1,2:12:00,1,5:10:00,1,6:02:00,1,8:09:00,1,11:51:00,1,16:21:00,1,19:35:00,1,21:30:00,1,26:32:00,1,31:00:00,1,33:30:00,1,36:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,641,Pete Binion                    Wade Binion                  John Maika                       Pat Petrisky            Vance Sherrod             Mark Simmons             TC-Joe Mynar,9:00, ,11:13:00, ,14:17:00, ,15:09:00, ,17:17:00, ,21:00:00, ,1:53:00, ,5:29:00, ,7:19:00, ,12:33:00, ,17:13:00, ,19:55:00, ,23:06:00
2nd Unlimited,,,,2,2:13:00,2,3:04:00,2,0:52:00,2,2:08:00,2,3:43:00,3,4:53:00,3,3:36:00,1,1:50:00,2,5:14:00,3,4:40:00,2,2:42:00,1,3:11:00
,,,,2,2:13:00,2,5:17:00,2,6:09:00,2,8:17:00,2,12:00:00,2,16:53:00,2,20:29:00,2,22:19:00,2,27:33:00,2,32:13:00,2,34:55:00,2,38:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,167,Jay Daniel                       Jim Pye                            Tim Rask                 Jonathan Yonley            Tommy Yonley           Jonathan Zeek             TC-Kristin Daniel,9:00, ,11:21:00, ,14:27:00, ,15:20:00, ,17:29:00, ,21:28:00, ,2:18:00, ,5:48:00, ,7:43:00, ,13:12:00, ,17:47:00, ,20:33:00, ,1:06:00
3rd Unlimited,,,,4,2:21:00,3,3:06:00,4,0:53:00,3,2:09:00,3,3:59:00,2,4:50:00,2,3:30:00,3,1:55:00,3,5:29:00,2,4:35:00,3,2:46:00,32,4:33:00
,,,,4,2:21:00,3,5:27:00,3,6:20:00,3,8:29:00,3,12:28:00,3,17:18:00,3,20:48:00,3,22:43:00,3,28:12:00,3,32:47:00,3,35:33:00,3,40:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,807,Sean Bain                       Jerry Cochran                John Dupont                   John Mark Harras       Sammy Prochaska        Rob Wytaske               TC-Fred Mynar ,9:00, ,11:20:00, ,14:28:00, ,15:23:00, ,17:40:00, ,21:45:00, ,3:04:00, ,6:55:00, ,9:00:00, ,14:54:00, ,19:59:00, ,23:00:00, ,2:46:00
4th Unlimited,,,,3,2:20:00,4,3:08:00,5,0:55:00,4,2:17:00,4,4:05:00,4,5:19:00,5,3:51:00,4,2:05:00,5,5:54:00,4,5:05:00,4,3:01:00,9,3:46:00
