,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
1,911,Armin Lopez            Jerry Rhaburn      Efrain Cruz            Armondo Cruz          Daniel Cruz              John Bugge             TC - Megan Yeager,9:00, ,11:15:05, ,14:24:00, ,15:16:00, ,17:26:00, ,21:08:00, ,2:46:00, ,6:26:00, ,8:14:00, ,13:28:00, ,17:56:00, ,20:26:00, ,23:00:00
,1st Unlimited,,,2,2:15:05,1,3:08:55,2,0:52:00,1,2:10:00,1,3:42:00,1,5:38:00,1,3:40:00,2,1:48:00,1,5:14:00,1,4:28:00,1,2:30:00,1,2:34:00
,,,,2,2:15:05,1,5:24:00,1,6:16:00,1,8:26:00,1,12:08:00,1,17:46:00,1,21:26:00,1,23:14:00,1,28:28:00,1,32:56:00,1,35:26:00,1,38:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,44,Jerry Cochran           Fred Mynar            Brian Mynar      Sammy Prochaska  Mike Vincent             John Dunn                 TC - Roger Myers,9:00, ,11:15:01, ,14:25:00, ,15:16:10, ,17:27:00, ,21:15:00, ,2:58:00, ,6:39:00, ,8:24:00, ,13:44:00, ,18:15:00, ,21:00:00, ,23:44:00
,2nd Unlimited,,,1,2:15:01,2,3:09:59,1,0:51:10,2,2:10:50,2,3:48:00,2,5:43:00,2,3:41:00,1,1:45:00,2,5:20:00,2,4:31:00,2,2:45:00,2,2:44:00
,,,,1,2:15:01,2,5:25:00,2,6:16:10,2,8:27:00,2,12:15:00,2,17:58:00,2,21:39:00,2,23:24:00,2,28:44:00,2,33:15:00,2,36:00:00,2,38:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,641,Pat Petrisky              Tim Rask              Michael Rask        Stephen Rask      Jonathan Yonley       Tommy Yonley         TC - Rob Wytaske,9:00, ,11:28:00, ,14:49:00, ,15:45:00, ,18:02:00, ,22:08:00, ,4:23:00, ,8:15:00, ,10:14:00, ,16:02:00, ,21:05:00, ,0:27:00, ,3:20:00
,3rd Unlimited,,,3,2:28:00,3,3:21:00,3,0:56:00,3,2:17:00,3,4:06:00,3,6:15:00,3,3:52:00,3,1:59:00,3,5:48:00,3,5:03:00,6,3:22:00,3,2:53:00
,,,,3,2:28:00,3,5:49:00,3,6:45:00,3,9:02:00,3,13:08:00,3,19:23:00,3,23:15:00,3,25:14:00,3,31:02:00,3,36:05:00,3,39:27:00,3,42:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,71,West Hansen          John Baltzell       Richard Steppe        Philippe Blouin              TC - Jerry Brown,9:00, ,11:31:00, ,15:13:00, ,16:15:00, ,18:47:00, ,23:36:00, ,7:08:00, ,11:20:00, ,13:33:00, ,20:19:00, ,2:06:00, ,5:47:00, ,9:08:00
,4th Unlimited,,,4,2:31:00,4,3:42:00,5,1:02:00,4,2:32:00,6,4:49:00,7,7:32:00,4,4:12:00,4,2:13:00,4,6:46:00,4,5:47:00,10,3:41:00,7,3:21:00
,,,,4,2:31:00,4,6:13:00,4,7:15:00,4,9:47:00,4,14:36:00,4,22:08:00,4,26:20:00,4,28:33:00,4,35:19:00,4,41:06:00,4,44:47:00,4,48:08:00
