,,,,,,,,,,,,2007 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1st Unlimited,71,"Pete Binion      
Wade Binion 
Amado Cruz   
West Hansen 
Armin Lopez   
Richard Steppe  
TC - Jerry Brown",9:00, ,11:10:00, ,13:56:00, ,14:42:00, ,16:49:00, ,20:27:00, ,0:30:00, ,3:20:00, ,5:06:00, ,9:26:00, ,13:27:00, ,16:07:00, ,19:09:00
,,,,,1,2:10:00,1,2:46:00,1,0:46:00,1,2:07:00,1,3:38:00,1,4:03:00,1,2:50:00,4,1:46:00,1,4:20:00,1,4:01:00,1,2:40:00,3,3:02:00
,,,,,1,2:10:00,1,4:56:00,1,5:42:00,1,7:49:00,1,11:27:00,1,15:30:00,1,18:20:00,1,20:06:00,1,24:26:00,1,28:27:00,1,31:07:00,1,34:09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Solo,79,"Carter Johnson    
TC - Richard Ameen",9:00, ,11:22:00, ,14:21:00, ,15:11:00, ,17:30:00, ,21:25:00, ,1:59:00, ,5:00:00, ,6:50:00, ,11:17:00, ,15:29:00, ,18:27:00, ,21:03:00
,NEW RECORD,,,,3,2:22:00,3,2:59:00,4,0:50:00,6,2:19:00,4,3:55:00,3,4:34:00,2,3:01:00,12,1:50:00,2,4:27:00,2,4:12:00,5,2:58:00,1,2:36:00
,,,,,3,2:22:00,3,5:21:00,3,6:11:00,3,8:30:00,3,12:25:00,3,16:59:00,2,20:00:00,2,21:50:00,2,26:17:00,2,30:29:00,2,33:27:00,2,36:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2nd Unlimited,807,"Tim Anglin       
Andres Cobb    
Felix Cruz       
John DuPont   
John Mark Harras  
Rob Wytaske        
TC - Kristin Daniel  ",9:00, ,11:19:00, ,14:11:00, ,14:59:00, ,17:13:00, ,21:02:00, ,1:34:00, ,5:03:00, ,6:51:00, ,11:19:00, ,15:36:00, ,18:48:00, ,21:47:00
,,,,,2,2:19:00,2,2:52:00,2,0:48:00,2,2:14:00,2,3:49:00,2,4:32:00,13,3:29:00,10,1:48:00,3,4:28:00,4,4:17:00,6,3:12:00,2,2:59:00
,,,,,2,2:19:00,2,5:11:00,2,5:59:00,2,8:13:00,2,12:02:00,2,16:34:00,3,20:03:00,3,21:51:00,3,26:19:00,3,30:36:00,3,33:48:00,3,36:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st C-1,28,"Jerry Rhaburn         
TC - Jennifer Bugge",9:00, ,11:27:00, ,14:36:00, ,15:27:00, ,17:43:00, ,21:34:00, ,2:25:00, ,5:30:00, ,7:11:00, ,11:45:00, ,16:01:00, ,18:51:00, ,22:07:00
,NEW RECORD,,,,6,2:27:00,6,3:09:00,9,0:51:00,3,2:16:00,3,3:51:00,7,4:51:00,3,3:05:00,1,1:41:00,4,4:34:00,3,4:16:00,2,2:50:00,8,3:16:00
,,,,,6,2:27:00,6,5:36:00,7,6:27:00,6,8:43:00,5,12:34:00,5,17:25:00,5,20:30:00,4,22:11:00,4,26:45:00,4,31:01:00,4,33:51:00,4,37:07:00
