2008 Safari Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Checkpoint Legend,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13:59,Time Out,,,,,,,,,,,,,
,,,,,,,,,,,Split Placement,1,02:47,Split Time,,,,,,,,,,,,,
,,,,,,,,,,,Overall Placement,1,04:59,Overall Time,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,Checkpoints,,,,,,,,,,,,,,,,,,,,,,,
,,,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Invista,,Saltwater Barrier,,Seadrift,
1,   1st Unl,23,"   Jerry Cochran
   Jeff Glock
   Tommy Yonely
   Mike Rendon
   Kyle Mynar
   Fred Mynar
   Michael Rask-tc",,11:18,,14:38,,15:30,,17:50,,21:50,,02:45,,06:06,,07:56,,13:26,,18:11,,21:02,,00:34
,,,,1,02:18,2,03:20,2,00:52,2,02:20,3,04:00,2,04:55,1,03:21,1,01:50,2,05:30,1,04:45,1,02:51,1,03:32
,,,,2,02:18,2,05:38,2,06:30,2,08:50,2,12:50,3,17:45,2,21:06,2,22:56,2,28:26,1,33:11,1,36:02,1,39:34
2,   2nd Unl,314,"   Andrew Stephens
   William Russell
   Armin Lopez
   Amado Cruz
   Leroy Romero
   Felix Cruz
   Shelby Stephens-tc",,11:20,,14:42,,15:35,,17:58,,21:55,,02:43,,06:27,,08:22,,14:04,,19:02,,22:22,,02:15
,,,,3,02:20,3,03:22,3,00:53,3,02:23,2,03:57,1,04:48,3,03:44,3,01:55,3,05:42,2,04:58,3,03:20,6,03:53
,,,,3,02:20,3,05:42,3,06:35,3,08:58,3,12:55,2,17:43,3,21:27,3,23:22,3,29:04,2,34:02,2,37:22,2,41:15
3,"   3rd Unl
   1st Mast",8006,"   John Qualls
   Rob Wytaske
   Ricahrd Ameen
   John Hoffart
   John Maika
   Sammy Prochaska
   Mike Stinson-tc",,11:34,,15:21,,16:19,,18:57,,23:32,,05:26,,09:34,,11:51,,19:10,,01:29,,05:20,,09:02
,,,,4,02:34,6,03:47,6,00:58,4,02:38,5,04:35,5,05:54,6,04:08,6,02:17,7,07:19,7,06:19,9,03:51,5,03:42
,,,,4,02:34,5,06:21,5,07:19,4,09:57,4,14:32,4,20:26,4,24:34,4,26:51,4,34:10,3,40:29,3,44:20,3,48:02
4,   1st C-2,221,"   Stephen Rask
   Jonathan Yonley
   Abbey Kittle-tc",,11:53,,16:00,,17:01,,19:44,,00:39,,06:49,,10:57,,13:22,,20:33,,02:35,,06:27,,10:03
,,,,11,02:53,11,04:07,10,01:01,6,02:43,9,04:55,6,06:10,5,04:08,7,02:25,5,07:11,4,06:02,10,03:52,2,03:36
,,,,10,02:53,11,07:00,8,08:01,7,10:44,8,15:39,6,21:49,6,25:57,5,28:22,5,35:33,4,41:35,4,45:27,4,49:03
5,   4th Unl,807,"   John Harras
   Jay Daniel
   Jim Pye
   John Dupont
   Bill Stafford
   Brandon Stafford
   Kristin Daniel-tc",,11:50,,15:58,,17:01,,19:55,,00:55,,07:12,,11:29,,14:02,,21:09,,03:12,,06:54,,10:59
