,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
1,1st Unlimited,314,"Kyle Mynar     
Andrew Stephens
Amado Cruz   
William Russell 
Armin Lopez   
Daniel Cruz  
TC - Joe Mynar",9:00, ,11:32:00,,15:21:00,,16:19:00,,19:04:00,,23:30:00,,5:20:00,,9:14:00,,11:35:00,,17:53:00,,23:40:00,,3:55:00,,7:23:00,,,,,
,,,,,1,2:32:00,1,3:49:00,1,0:58:00,3,2:45:00,2,4:26:00,1,5:50:00,1,3:54:00,2,2:21:00,1,6:18:00,1,5:47:00,3,4:15:00,2,3:28:00,,,,,
,,,,,1,2:32:00,1,6:21:00,1,7:19:00,1,10:04:00,1,14:30:00,1,20:20:00,1,24:14:00,1,26:35:00,1,32:53:00,1,38:40:00,1,42:55:00,1,46:23:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,221,"Stephen Rask
Peter Rask
Philip Rask
Jonathan Yonley
Max Feaster
TC - Abilgail Kittle",9:00, ,11:37:00,,15:31:00,,16:30:00,,19:07:00,,23:30:00,,5:37:00,,9:37:00,,11:57:00,,18:35:00,,0:24:00,,4:31:00,,7:53:00,,,,,
,,,,,2,2:37:00,2,3:54:00,2,0:59:00,1,2:37:00,1,4:23:00,2,6:07:00,2,4:00:00,1,2:20:00,2,6:38:00,2,5:49:00,2,4:07:00,1,3:22:00,,,,,
,,,,,2,2:37:00,2,6:31:00,2,7:30:00,2,10:07:00,1,14:30:00,2,20:37:00,2,24:37:00,2,26:57:00,2,33:35:00,2,39:24:00,2,43:31:00,2,46:53:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1st Solo
1st Masters",44,"Fred Mynar*
TC - Deborah Lane",9:00, ,11:41:00,,15:43:00,,16:45:00,,19:34:00,,0:40:00,,7:07:00,,11:32:00,,14:10:00,,21:24:00,,3:39:00,,7:41:00,,11:58:00,,,,,
,,,,,3,2:41:00,5,4:02:00,4,1:02:00,4,2:49:00,3,5:06:00,3,6:27:00,3,4:25:00,3,2:38:00,3,7:14:00,3,6:15:00,1,4:02:00,5,4:17:00,,,,,
,,,,,3,2:41:00,5,6:43:00,5,7:45:00,4,10:34:00,3,15:40:00,3,22:07:00,3,26:32:00,3,29:10:00,3,36:24:00,3,42:39:00,3,46:41:00,3,50:58:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Tandem,20,"Tommy Yonley
Michael Rendon
TC - Tim Rask",9:00, ,11:42:00,,15:38:00,,16:40:00,,19:24:00,,0:41:00,,7:43:00,,12:41:00,,15:36:00,,0:12:00,,7:38:00,,12:11:00,,16:17:00,,,,,
,,,,,5,2:42:00,3,3:56:00,5,1:02:00,2,2:44:00,4,5:17:00,5,7:02:00,6,4:58:00,8,2:55:00,5,8:36:00,13,7:26:00,6,4:33:00,4,4:06:00,,,,,
