,,,,,,,,,,2015 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1st Unlimited,"Gaston Jones
Clay Wyatt
Wade Binion
Andrew Condie
Jeff Glock
Ian Rolls
TC - Jill Wyatt ",150,9:00, ,11:11:00, ,14:05:00, ,16:51:00, ,20:29:00, ,1:09:00, ,4:17:00, ,6:07:00, ,10:59:00, ,14:59:00, ,17:35:00, ,20:02:00
,,,,,1,2:11:00,1,2:54:00,1,2:46:00,1,3:38:00,1,4:40:00,1,3:08:00,1,1:50:00,1,4:52:00,1,4:00:00,1,2:36:00,1,2:27:00
,,,,,1,2:11:00,1,5:05:00,1,7:51:00,1,11:29:00,1,16:09:00,1,19:17:00,1,21:07:00,1,25:59:00,1,29:59:00,1,32:35:00,1,35:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Tandem,"Jonathan Yonley
Max Feaster
TC - Peter Derrick",10,9:00, ,11:15:00, ,14:20:00, ,17:15:00, ,21:08:00, ,2:12:00, ,5:37:00, ,7:29:00, ,12:38:00, ,17:07:00, ,20:05:00, ,23:22:00
,,,,,3,2:15:00,3,3:05:00,2,2:55:00,2,3:53:00,2,5:04:00,3,3:25:00,4,1:52:00,2,5:09:00,2,4:29:00,2,2:58:00,3,3:17:00
,,,,,3,2:15:00,2,5:20:00,2,8:15:00,2,12:08:00,2,17:12:00,2,20:37:00,2,22:29:00,2,27:38:00,2,32:07:00,2,35:05:00,2,38:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2nd Unlimited,"Chris Champion
Phil Bowden
Jason Cade
TC - Lisa Carter
TC - A.J. Champion",8,9:00, ,11:19:00, ,14:22:00, ,17:17:00, ,21:14:00, ,2:25:00, ,6:01:00, ,7:51:00, ,13:14:00, ,17:45:00, ,20:56:00, ,0:33:00
,,,,,4,2:19:00,2,3:03:00,4,2:55:00,4,3:57:00,6,5:11:00,4,3:36:00,2,1:50:00,3,5:23:00,3,4:31:00,6,3:11:00,8,3:37:00
,,,,,4,2:19:00,4,5:22:00,4,8:17:00,4,12:14:00,4,17:25:00,4,21:01:00,4,22:51:00,4,28:14:00,3,32:45:00,4,35:56:00,3,39:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Mens Solo,"Thomas Yonley
TC - Sandy Yonley
TC - Scott Goynes",5,9:00, ,11:13:00, ,14:20:00, ,17:15:00, ,21:09:00, ,2:13:00, ,5:38:00, ,7:29:00, ,13:07:00, ,17:45:00, ,20:46:00, ,1:54:00
,* 2 Hour Penalty - Mandatory Portage,,,,2,2:13:00,4,3:07:00,2,2:55:00,3,3:54:00,2,5:04:00,2,3:25:00,3,1:51:00,5,5:38:00,4,4:38:00,5,3:01:00,31,5:08:00
,,,,,2,2:13:00,2,5:20:00,2,8:15:00,3,12:09:00,3,17:13:00,3,20:38:00,2,22:29:00,3,28:07:00,3,32:45:00,3,35:46:00,4,40:54:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
