Location,Date,Value,Unit,Gauge Number
San Marcos Rv at San Marcos,6/9/2018,144,ft^3/s,8170500
San Marcos Rv at San Marcos,6/9/2018,4.29,Ft,8170500
San Marcos Rv at San Marcos,6/8/2019,275,ft^3/s,8170500
San Marcos Rv at San Marcos,6/8/2019,5.23,Ft,8170500
San Marcos Rv at San Marcos,6/12/2021,181,ft^3/s,8170500
San Marcos Rv at San Marcos,6/12/2021,4.59,Ft,8170500
San Marcos Rv at San Marcos,6/10/2022,115,ft^3/s,8170500
San Marcos Rv at San Marcos,6/10/2022,4.03,Ft,8170500
San Marcos Rv at San Marcos,6/10/2023,85.3,ft^3/s,8170500
San Marcos Rv at San Marcos,6/10/2023,3.72,Ft,8170500
San Marcos Rv nr Martindale,6/9/2018,111,ft^3/s,8171400
San Marcos Rv nr Martindale,6/9/2018,7.61,Ft,8171400
San Marcos Rv nr Martindale,6/8/2019,365,ft^3/s,8171400
San Marcos Rv nr Martindale,6/8/2019,8.44,Ft,8171400
San Marcos Rv nr Martindale,6/12/2021,225,ft^3/s,8171400
San Marcos Rv nr Martindale,6/12/2021,7.85,Ft,8171400
San Marcos Rv nr Martindale,6/11/2022,141,ft^3/s,8171400
San Marcos Rv nr Martindale,6/11/2022,7.52,Ft,8171400
San Marcos Rv nr Martindale,6/10/2023,87.8,ft^3/s,8171400
San Marcos Rv nr Martindale,6/10/2023,7.31,Ft,8171400
San Marcos Rv at Luling,6/9/2018,123,ft^3/s,8172000
San Marcos Rv at Luling,6/9/2018,4.36,Ft,8172000
San Marcos Rv at Luling,6/8/2019,455,ft^3/s,8172000
San Marcos Rv at Luling,6/8/2019,5.81,Ft,8172000
San Marcos Rv at Luling,6/12/2021,244,ft^3/s,8172000
San Marcos Rv at Luling,6/12/2021,4.8,Ft,8172000
San Marcos Rv at Luling,6/11/2022,103,ft^3/s,8172000
San Marcos Rv at Luling,6/11/2022,4.14,Ft,8172000
San Marcos Rv at Luling,6/10/2023,106,ft^3/s,8172000
San Marcos Rv at Luling,6/10/2023,4,Ft,8172000
Guadalupe Rv at Gonzales,6/9/2018,333,ft^3/s,8173900
Guadalupe Rv at Gonzales,6/9/2018,11.59,Ft,8173900
Guadalupe Rv at Gonzales,6/8/2019,1350,ft^3/s,8173900
Guadalupe Rv at Gonzales,6/8/2019,13.26,Ft,8173900
Guadalupe Rv at Gonzales,6/12/2021,900,ft^3/s,8173900
Guadalupe Rv at Gonzales,6/12/2021,12.4,Ft,8173900
Guadalupe Rv at Gonzales,6/11/2022,426,ft^3/s,8173900
Guadalupe Rv at Gonzales,6/11/2022,11.63,Ft,8173900
Guadalupe Rv at Gonzales,6/10/2023,398,ft^3/s,8173900
Guadalupe Rv at Gonzales,6/10/2023,11.48,Ft,8173900
Guadalupe Rv nr Hochheim,6/9/2018,408,ft^3/s,8174700
Guadalupe Rv nr Hochheim,6/8/2019,1650,ft^3/s,8174700
Guadalupe Rv nr Hochheim,6/12/2021,1040,ft^3/s,8174700
Guadalupe Rv nr Hochheim,6/11/2022,366,ft^3/s,8174700
Guadalupe Rv nr Hochheim,6/10/2023,303,ft^3/s,8174700
Guadalupe Rv nr Hochheim,6/10/2023,14.56,Ft,8174700
Guadalupe Rv at Victoria,6/9/2018,455,ft^3/s,8176500
Guadalupe Rv at Victoria,6/9/2018,5.74,Ft,8176500
Guadalupe Rv at Victoria,6/8/2019,1780,ft^3/s,8176500
Guadalupe Rv at Victoria,6/8/2019,8.85,Ft,8176500
Guadalupe Rv at Victoria,6/13/2021,1470,ft^3/s,8176500
Guadalupe Rv at Victoria,6/13/2021,8.1,Ft,8176500
Guadalupe Rv at Victoria,6/11/2022,247,ft^3/s,8176500
Guadalupe Rv at Victoria,6/11/2022,4.82,Ft,8176500
Guadalupe Rv at Victoria,6/11/2023,482,ft^3/s,8176500
Guadalupe Rv at Victoria,6/11/2023,5.74,Ft,8176500
Guadalupe Rv nr Bloomington,6/11/2018,479,ft^3/s,8177520
Guadalupe Rv nr Bloomington,6/11/2018,9.79,Ft,8177520
Guadalupe Rv nr Bloomington,6/10/2019,1730,ft^3/s,8177520
Guadalupe Rv nr Bloomington,6/10/2019,15.44,Ft,8177520
Guadalupe Rv nr Bloomington,6/14/2021,2010,ft^3/s,8177520
Guadalupe Rv nr Bloomington,6/14/2021,17.11,Ft,8177520
Guadalupe Rv nr Bloomington,6/11/2022,439,ft^3/s,8177520
Guadalupe Rv nr Bloomington,6/11/2022,9.38,Ft,8177520
Guadalupe Rv nr Bloomington,6/12/2023,637,ft^3/s,8177520
Guadalupe Rv nr Bloomington,6/12/2023,11.45,Ft,8177520
Guadalupe Rv at SW Barrier,6/11/2018,605,ft^3/s,8188800
