,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cheapside,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Unlimited,"Tim Rask
Kyle Mynar
Nick Walton
Tommy Yonley
TC Kaitlyn Mynar
TC Landen Jiral",1,9:00, ,11:10:00,,14:14:00,,17:04:00,,20:36:00,,1:18,,4:28:00,,6:15:00,,11:11:00,,15:31:00,,18:13:00,,20:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:10:00,1,3:04:00,1,2:50:00,2,3:32:00,1,4:42:00,1,3:10:00,1,1:47:00,1,4:56:00,2,4:20:00,1,2:42:00,2,2:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:10:00,1,5:14:00,1,8:04:00,1,11:36:00,1,16:18:00,1,19:28:00,1,21:15:00,1,26:11:00,1,30:31:00,1,33:13:00,1,35:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,"Ryan Slebos
Wes Wyatt
Brad Daniels
Phil Bowden
Dylan McHardy
Ryan Martinez
TC Don Walls
TC Steve Lynn",407,9:00, ,11:10:00,,14:31:00,,17:24:00,,20:58:00,,1:44:00,,5:02:00,,6:56:00,,11:56:00,,16:13:00,,19:20:00,,22:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:10:00,3,3:21:00,2,2:53:00,3,3:34:00,2,4:46:00,2,3:18:00,3,1:54:00,2,5:00:00,1,4:17:00,3,3:07:00,4,2:41:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:10:00,3,5:31:00,2,8:24:00,2,11:58:00,2,16:44:00,2,20:02:00,2,21:56:00,2,26:56:00,2,31:13:00,2,34:20:00,2,37:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3rd Unlimited,"Andrew Condie
Clay Wyatt
Danny Medina
TC Jill Wyatt
TC Jay Condie",123,9:00, ,11:17:00,,14:30:00,,17:28:00,,20:58:00,,1:55:00,,5:25:00,,7:16:00,,12:22:00,,17:02:00,,20:03:00,,22:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,2:17:00,2,3:13:00,3,2:58:00,1,3:30:00,3,4:57:00,3,3:30:00,2,1:51:00,3,5:06:00,3,4:40:00,2,3:01:00,1,2:25:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,2:17:00,2,5:30:00,3,8:28:00,2,11:58:00,3,16:55:00,3,20:25:00,3,22:16:00,3,27:22:00,3,32:02:00,3,35:03:00,3,37:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
