,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Split Plcemnt,,,,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Overall Plcemnt,,,,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cheapside,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Calhouns RV,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Tandem Unlimited,"Tommy Yonley
Jonathan Yonley

TC Steve Rask
TC Jacob Southard",2, ,11:17:00,,14:29:00,,17:24:00,,20:54:00,,2:15,,5:55:00,,7:54:00,,13:36:00,,18:43:00,,22:08:00,,0:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2:17:00,1,3:12:00,1,2:55:00,3,3:30:00,2,5:21:00,2,3:40:00,2,1:59:00,3,5:42:00,2,5:07:00,2,3:25:00,1,2:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2:17:00,2,5:29:00,2,8:24:00,2,11:54:00,3,17:15:00,2,20:55:00,2,22:54:00,2,28:36:00,2,33:43:00,2,37:08:00,1,39:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Unlimited,"Andrew Condie
Brian Jones
Gaston Jones
William Russell
Dodd Yeager
Clay Wyatt

TC Jill Wyatt
TC Jay Condie",1313, ,11:15:00,,14:27:00,,17:23:00,,20:47:00,,2:09:00,,5:36:00,,7:35:00,,13:02:00,,17:42:00,,20:37:00,,1:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2:15:00,1,3:12:00,2,2:56:00,1,3:24:00,3,5:22:00,1,3:27:00,3,1:59:00,2,5:27:00,1,4:40:00,1,2:55:00,17,4:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2:15:00,1,5:27:00,1,8:23:00,1,11:47:00,1,17:09:00,1,20:36:00,1,22:35:00,1,28:02:00,1,32:42:00,1,35:37:00,2,40:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2nd Unlimited,"Nathan Tart
James Lowe
David Earnest
Ryan Martinez
Shawn Boyett
Jason Cade

TC Kathryn Tart
TC Illiana Pena",2424, ,11:17:00,,14:29:00,,17:29:00,,20:57:00,,2:14:00,,5:56:00,,7:54:00,,13:38:00,,19:02:00,,23:15:00,,6:10:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2:17:00,1,3:12:00,3,3:00:00,2,3:28:00,1,5:17:00,3,3:42:00,1,1:58:00,4,5:44:00,3,5:24:00,6,4:13:00,41,6:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2:17:00,2,5:29:00,3,8:29:00,3,11:57:00,2,17:14:00,3,20:56:00,2,22:54:00,3,28:38:00,3,34:02:00,3,38:15:00,3,45:10:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
